Name,Institution,Country,Continent,Bidang Keahlian,IS Plenary,IS Mini Symposia,Status,Profile Links,Link/Photo Confirmation
Assoc. Prof. Shelton Peiris ,University of Sydney,Australia,Australia,Financial Econometric,1,,1,https://sydney.edu.au/science/people/shelton.peiris.php,
Atok Zulijanto,Universitas Gadjah Mada,Indonesia,Asia,Analisis,1,,1,http://atokzulijanto.staff.ugm.ac.id,
Chen Zehua,National University of Singapore,Singapore,Asia,"Model Selection Criteria, Statistical genetics",1,,1,https://www.stat.nus.edu.sg/~stachenz/,OK
Dr. Ayesha Asloob Qureshi,Sabanci University,Turkey,Europe,Algbra,,Algebra,1,https://fens.sabanciuniv.edu/en/faculty-members/detail/2716,
Dr. Eridani,Universitas Airlangga,Indonesia,Asia,Analisis,1,,1,,
Dr. Intan Muchtadi,Institut Teknologi Bandung,Indonesia,Asia,,,,1,,
Dr. Srivatsan Vidyaraghavan ,National University of Singapore,Singapore,Asia,Statistical Downscaling on Climate Analysis,1,,1,https://www.tmsi.nus.edu.sg/static/staff/VijayaraghavanSrivatsan.htm,OK
Imam Solekhudin,Universitas Gadjah Mada,Indonesia,Asia,Numerical Analysis,1,,1,https://acadstaff.ugm.ac.id/MTk3OTAyMjAyMDAyMTIxMDAx,
"Jose Maria P. Balmaceda, Ph.D ",Presiden SEAMS,Philippines,Asia,,,,1,,
Prof. Bao Weizhu,National University of Singapore,Singapore,Asia,Mathematics Computation,1,,1,http://www.math.nus.edu.sg/~bao/,
Prof. Basuki Widodo,Institut Teknologi Sepuluh November,Indonesia,Asia,Computational Mathematics,1,,1,http://personal.its.ac.id/dataPersonal.php?userid=basuki%20widodo,
Prof. Dr. Wono Setya budhi,Institut Teknologi Bandung,Indonesia,Asia,Analysis,1,,1,https://www.itb.ac.id/staff/view/marcus-wono-setya-budhi-afe,OK
Prof. Marjono,Universitas Brawijaya,Indonesia,Asia,Analisis,1,,1,http://fst.unair.ac.id/about/staf/dosen-dep-matematika-fst-ua/,
Prof. Mitsuru Sugimoto ,Nagoya University,Japan,Asia,Differential Equations,1,,1,http://www.math.nagoya-u.ac.jp/~sugimoto/index-e.html,
Prof. Edy Tri Baskoro,Institut Teknologi Bandung,Indonesia,Asia,,,,1,,
Dr. F. M. Spieksma,University of Leiden,The Netherlands,Europe,Stochastic Optimization,1,,"Formal Email Sent August 9,2018",https://www.universiteitleiden.nl/en/staffmembers/floske-spieksma#tab-1,
Prof. Dr. Engku Muhammad Nazri Engku Abu Bakar,University Utara Malaysia,Malaysia,Asia,Statistics / Data Science,1,,"Formal Email Sent August 9,2018",https://www.researchgate.net/profile/Engku_Bakar,
Prof. Edward (Jed) Frees,University of Wisconsin-Madison,United States,North America,Actuarial Science,1,,"Formal Email Sent August 9,2018",,
Prof. Kar-Ping Shum,The Chinesse University of Hongkong,Hongkong,Asia,Algebra,1,,"Formal Email Sent August 9,2018",,
Prof. Lahcen Oukhtite,Sidi Mohamed Ben Abdellah University Morocco,Morocco,Africa,Algebra,1,,"Formal Email Sent August 9,2018",,
Prof. Alexander Zimmermann,Université de Picardie,France,Europe,Representation Theory,1,,"Formal Email Sent Jun27,2018",http://www.lamfa.u-picardie.fr/alex/azimengl.html,
"Prof. Ken Seng Tan, Ph.D.",University of Waterloo,Canada,North America,Actuarial Science,1,,"Formal Email Sent Jun27,2018",https://uwaterloo.ca/statistics-and-actuarial-science/people-profiles/ken-seng-tan,OK
J. H. Weber,TU Delft,The Netherlands,Europe,Computational Algebra,1,,NOT CONFIRMED,,
"Mario Guarracino, Ph.D ",ICAR-CNR,Italy,Europe,Big Data,1,,NOT CONFIRMED,,
Mohammad Mursaleen ,Aligarh Moslem University,India,Asia,Functional Analysis,1,,NOT CONFIRMED,,
Prof. Mary Hardy,University of Waterloo,Canada,North America,Actuarial Science,1,,NOT CONFIRMED,,
Ravi P Agarwal,Texas A&M University-Kingsville,United States,North America,"Nonlinear Analysis, Differential and Difference Equations, Fixed Point Theory, General Innequality",1,,NOT CONFIRMED,,
"Prof. Ling San, Ph.D. ",Nanyang Technological University,Singapore,Asia,Cryptography,1,,Tentative until January 2019,,
Dr. W. T. van Horssen ,TU Delft,The Netherlands,Europe,Partial Differential Equations,1,,,https://www.tudelft.nl/en/eemcs/the-faculty/departments/applied-mathematics/mathematical-physics/people/wt-van-horssen/,OK
Gunardi,Universitas Gadjah Mada,Indonesia,Asia,Statistics,1,,,https://acadstaff.ugm.ac.id/gunardi,
"Matthias Templ , Ph.D ",Zhaw Zurich University of Applied Sciences,Switzerland,Europe,Computational Statistics,1,,,https://www.zhaw.ch/en/about-us/person/teml/,
Prof. Hari Mohan Srivastava ,University of Victoria,Canada,North America,Complex Analysis,1,,,,
Prof. Ludovic Rifford,CIMPA’s President,Singapore,Asia,,,,,,
Prof. Michael Katehakis,Ruttgers Bussiness School,United States,North America,Operation Research,1,,,,
Prof. Phelim Boyle,Wilfrid Laurier University,Canada,North America,Actuarial Science,1,,,,
Yoshihiro Sawano,University of Tokyo,Japan,Asia,Functional Analysis,1,,,,
